// redbook tesswind.c

// rects same direction
 50.0,  50.0
300.0,  50.0 
300.0, 300.0
 50.0, 300.0
 
100.0, 100.0
250.0, 100.0
250.0, 250.0
100.0, 250.0

150.0, 150.0
200.0, 150.0
200.0, 200.0
150.0, 200.0

// rects alternate
 50.0, 550.0
300.0, 550.0 
300.0, 800.0
 50.0, 800.0

100.0, 750.0
250.0, 750.0
250.0, 600.0
100.0, 600.0

150.0, 700.0
200.0, 700.0
200.0, 650.0
150.0, 650.0

// spiral
900.0, 250.0
900.0,  50.0
550.0,  50.0
550.0, 400.0 
850.0, 400.0
850.0, 100.0
600.0, 100.0
600.0, 350.0
800.0, 350.0
800.0, 150.0
650.0, 150.0
650.0, 300.0
750.0, 300.0
750.0, 200.0
700.0, 200.0
700.0, 250.0

// misc
550.0, 650.0
850.0, 650.0
850.0, 700.0
550.0, 700.0

600.0, 600.0
800.0, 600.0
800.0, 850.0
600.0, 850.0

700.0, 550.0
750.0, 800.0
650.0, 800.0
